10 20 10
Lis 0 6 36 3 7 L
Czlowiek 6 13 36 5 4 C 0
Antylopa 3 15 36 7 4 A
Owca 9 14 36 4 4 O
Antylopa 8 11 36 16 4 A
Owca 2 17 36 16 4 O
CyberOwca 1 11 36 11 4 Y
CyberOwca 5 4 36 20 4 Y
Antylopa 7 14 34 28 4 A
CyberOwca 5 5 18 11 4 Y
CyberOwca 4 10 16 11 4 Y
CyberOwca 5 9 15 26 4 Y
CyberOwca 3 1 14 11 4 Y
CyberOwca 3 3 14 11 4 Y
CyberOwca 8 6 13 23 4 Y
CyberOwca 6 5 13 11 4 Y
CyberOwca 3 4 13 11 4 Y
CyberOwca 8 4 12 11 4 Y
CyberOwca 7 5 11 11 4 Y
CyberOwca 2 8 10 11 4 Y
CyberOwca 2 6 10 11 4 Y
CyberOwca 6 4 10 11 4 Y
CyberOwca 9 4 10 14 4 Y
CyberOwca 4 3 9 11 4 Y
CyberOwca 4 6 9 11 4 Y
CyberOwca 6 6 9 11 4 Y
CyberOwca 7 3 9 11 4 Y
CyberOwca 7 6 9 11 4 Y
CyberOwca 9 5 9 14 4 Y
CyberOwca 3 7 8 11 4 Y
CyberOwca 3 6 8 11 4 Y
CyberOwca 6 3 8 11 4 Y
CyberOwca 5 8 8 11 4 Y
CyberOwca 7 7 8 11 4 Y
CyberOwca 7 1 7 11 4 Y
CyberOwca 1 2 7 11 4 Y
CyberOwca 4 7 7 11 4 Y
CyberOwca 9 8 7 14 4 Y
CyberOwca 5 0 7 11 4 Y
CyberOwca 4 5 6 11 4 Y
CyberOwca 9 6 6 11 4 Y
CyberOwca 8 5 6 11 4 Y
CyberOwca 9 0 6 11 4 Y
CyberOwca 6 2 6 11 4 Y
CyberOwca 5 6 6 11 4 Y
CyberOwca 2 5 6 11 4 Y
CyberOwca 4 8 6 11 4 Y
CyberOwca 3 10 6 11 4 Y
CyberOwca 4 4 5 11 4 Y
CyberOwca 7 4 5 11 4 Y
CyberOwca 8 3 5 11 4 Y
CyberOwca 3 5 5 11 4 Y
CyberOwca 7 2 5 11 4 Y
CyberOwca 1 9 5 11 4 Y
CyberOwca 5 3 5 11 4 Y
CyberOwca 8 8 5 14 4 Y
CyberOwca 5 1 4 11 4 Y
CyberOwca 2 2 4 11 4 Y
CyberOwca 9 3 4 11 4 Y
CyberOwca 0 8 4 11 4 Y
CyberOwca 6 7 4 11 4 Y
CyberOwca 8 2 4 11 4 Y
CyberOwca 3 8 4 11 4 Y
CyberOwca 6 1 4 11 4 Y
CyberOwca 1 4 4 11 4 Y
CyberOwca 8 1 4 11 4 Y
CyberOwca 4 2 3 11 4 Y
CyberOwca 1 6 3 11 4 Y
CyberOwca 2 7 3 11 4 Y
CyberOwca 7 8 3 14 4 Y
